10,scalability,22788,26,16,8,5
10,scalability,16904,26,16,8,7
10,scalability,41863,26,16,8,4
10,scalability,21513,26,16,8,5
10,scalability,77658,26,16,8,6
10,scalability,18369,26,16,8,8
10,scalability,93692,26,16,8,7
10,scalability,5269,26,16,8,8
10,scalability,34733,26,16,8,4
10,scalability,20172,26,16,8,6
15,scalability,68419,38,25,12,3
15,scalability,33280,38,25,12,1
15,scalability,55978,38,25,12,1
15,scalability,69604,38,25,12,5
15,scalability,49889,38,25,12,1
15,scalability,29503,38,25,12,0
15,scalability,58391,38,25,12,5
15,scalability,34710,38,25,12,1
15,scalability,16468,38,25,12,2
15,scalability,3372,38,25,12,7
